School	Region	Location	UWC since	Number of Students	exclusively IBDP
UWC Atlantic College	Europe	"Vale of Glamorgan, Wales, UK"	1962	350	TRUE
UWC Robert Bosch College	Europe	"Freiburg, Germany"	2014	200	TRUE
UWC Costa Rica	Americas	"Santa Ana Downtown, Costa Rica"	2006	175	TRUE
UWC Mahindra College	Asia-Pacific	"Pune, India"	1997	240	TRUE
UWC Red Cross Nordic	Europe	"Flekke, Norway"	1995	205	TRUE
UWC Maastricht	Europe	"Maastricht, The Netherlands"	2009	915	FALSE
UWC ISAK Japan	Asia-Pacific	"Karuizawa, Japan"	2017	175	TRUE
UWC South East Asia	Asia-Pacific	Singapore	1975	5500	FALSE
UWC Adriatic	Europe	"Duino, Italy"	1982	182	TRUE
UWC Mostar	Europe	"Mostar, Bosnia and Herzigovina"	2006	200	TRUE
LI Po Chun UWC	Asia-Pacific	"Hong Kong S.A.R., China"	1992	256	TRUE
UWC USA	Americas	"Montezuma, New Mexico"	1982	235	TRUE
UWC Thailand	Asia-Pacific	"Phuket, Thailand"	2016	380	FALSE
Waterford Kamhlaba UWC	Africa	"Mbabane, Swaziland"	1981	600	FALSE
Pearson College UWC	Americas	"Victoria, Canada"	1974	200	TRUE
UWC Dilijan	Europe	"Dilijan, Armenia"	2014	194	TRUE
UWC Changshu China	Asia-Pacific	"Changshu, China"	2015	443	FALSE
